country;biocapacity;footprint;metric
Mexico; 1.21275853694207;2.55792224629527;-2.1091768628114425
Mali; 1.38167413818128;1.30123715720169;1.0618157731927742
Myanmar; 1.72542303240006;1.44447681953843;1.194496864928164
Montenegro; 3.13608369491232;3.63563015637468;-1.1592899010548654
Mongolia; 15.2522552417215;7.47802245983628;2.0396107826153043
Mozambique; 1.89951164284611;0.838929864318701;2.26420791967957
Mauritania; 4.42337259042369;2.43042655662157;1.819998460094358
Malawi; 0.653167381769729;0.824110384640216;-1.2617139306732132
Malaysia; 2.37450940453792;4.21403716140188;-1.774698029558629
Namibia; 6.63766847680702;2.10591241153185;3.1519204884588485
New Caledonia; 7.60298413525936;2.2604021729624;3.363553718980534
Niger; 1.17709153466915;1.49495377723814;-1.2700403776655593
